first_name,last_name,city,student_id,primary_phone_number,shop,year_of_graduation,counselor_id
Clarke,Faulkner,Tupelo,1000,781-416-5409,Computer IT,2014,109
Harper,Phelps,Pittsfield,1001,781-211-3407,Drafting,2014,104
Carissa,Dillard,Carrollton,1002,781-589-9560,Auto Body Collision Repair,2012,107
Stewart,Jenkins,Spokane,1003,781-892-9244,Automotive,2014,102
Duncan,Cannon,Temple City,1004,781-725-5743,Carpentry,2014,105
Isaiah,Gonzalez,Grand Junction,1005,781-896-1048,Cosmetology,2015,102
Eagan,Gibson,Toledo,1006,781-283-6174,Cosmetology,2014,108
Astra,Short,Plymouth,1007,781-869-0982,Precision Machining,2016,101
Flavia,Finley,Pulaski,1008,781-784-7615,Precision Machining,2012,100
Dara,Davis,Everett,1009,781-914-3419,Carpentry,2016,104
Lana,Stephens,Jordan Valley,1010,781-603-8268,Drafting,2014,100
Thane,Duffy,Oak Ridge,1011,781-510-0046,Carpentry,2015,104
Vance,Figueroa,Lakeland,1012,781-374-1006,Drafting,2015,106
Bruce,Livingston,Carson City,1013,781-925-8591,Electronic Engineering Technology,2015,101
Jacob,Rice,Gardena,1014,781-949-0909,Electrical,2012,103
Dieter,Hartman,Nampa,1015,781-117-5804,HVAC,2013,109
Jasper,Powell,Huntsville,1016,781-287-4235,Allied Health,2016,108
Mechelle,Cabrera,Daly City,1017,781-830-3044,Carpentry,2012,100
Julian,Fisher,International Falls,1018,781-912-5344,Computer IT,2015,101
Magee,Lindsey,Bossier City,1019,781-250-7846,Drafting,2016,100
Larissa,Schneider,Murrieta,1020,781-347-8070,Graphic Communications,2015,109
Rhonda,Hewitt,New Castle,1021,781-435-9111,Drafting,2016,100
Cameran,Blackwell,Gallup,1022,781-281-9273,HVAC,2015,106
Uma,Mason,Temecula,1023,781-248-3514,Graphic Communications,2014,109
Jamal,Mcfarland,Littleton,1024,781-720-6897,Culinary Art,2016,105
Gloria,Walsh,Scottsdale,1025,781-846-2919,Carpentry,2013,108
Mary,Peck,Evansville,1026,781-967-3551,Electrical,2015,106
Bethany,Ramsey,Laguna Beach,1027,781-702-3743,Precision Machining,2012,104
Ivory,Velez,Morgantown,1028,781-371-3460,Electronic Engineering Technology,2013,104
Ezekiel,Sheppard,Torrington,1029,781-492-8880,Automotive,2014,102
Wade,Stanton,Manhattan,1030,781-429-6181,Precision Machining,2013,100
Uriel,Clarke,Quincy,1031,781-369-2556,Cosmetology,2014,100
Veda,Carlson,Zanesville,1032,781-149-9563,Automotive,2014,105
Fletcher,Sawyer,Austin,1033,781-720-6306,Automotive,2013,104
Kiona,Crosby,Kettering,1034,781-169-3400,Carpentry,2013,105
Heidi,Reeves,Farrell,1035,781-496-9110,Welding & Metal Fab,2014,103
Dolan,Gross,Fairfield,1036,781-257-6300,Auto Body Collision Repair,2013,108
Maggie,Nunez,Calabasas,1037,781-614-8570,Auto Body Collision Repair,2013,102
Clayton,Goff,Appleton,1038,781-768-3399,Allied Health,2015,102
Perry,Stewart,Baton Rouge,1039,781-413-5433,Graphic Communications,2013,101
Ann,Marshall,Maywood,1040,781-517-2076,Graphic Communications,2013,106
Gillian,Spence,Biddeford,1041,781-712-7772,Carpentry,2014,102
Rudyard,Ewing,Council Bluffs,1042,781-157-4381,Welding & Metal Fab,2012,104
Cara,Barrett,Gallup,1043,781-755-5876,Computer IT,2015,100
Sydney,Hooper,Wheaton,1044,781-353-3661,Cosmetology,2013,106
Yuli,Mullins,Schenectady,1045,781-738-5878,Electrical,2013,107
Tarik,Dawson,Corvallis,1046,781-457-3150,Electronic Engineering Technology,2012,100
Glenna,Battle,Duncan,1047,781-149-9613,Electronic Engineering Technology,2014,102
Amber,Lindsey,Cleveland,1048,781-160-4635,Welding & Metal Fab,2015,104
Quincy,Sanders,Bossier City,1049,781-923-0751,Welding & Metal Fab,2016,100
Josephine,Reynolds,Carson,1050,781-845-6266,HVAC,2014,101
Cadman,Buck,Norton,1051,781-306-7876,Precision Machining,2015,106
Uriah,Wyatt,Bellingham,1052,781-942-1583,Drafting,2015,103
Sloane,Clemons,Methuen,1053,781-991-8928,Culinary Art,2015,101
Colby,Ellison,Vermillion,1054,781-782-5075,Welding & Metal Fab,2015,101
Aretha,Rojas,Green Bay,1055,781-944-1738,Electronic Engineering Technology,2012,109
Hyacinth,Barber,Mentor,1056,781-477-4503,Welding & Metal Fab,2013,108
Eleanor,Simpson,Fredericksburg,1057,781-391-7071,Automotive,2014,104
Gary,Lewis,Westlake Village,1058,781-987-2706,Automotive,2016,106
Ava,Webster,Harrisburg,1059,781-558-7077,Auto Body Collision Repair,2012,106
Chiquita,Walton,Paterson,1060,781-382-3867,Electrical,2012,100
Dennis,Rollins,Manassas Park,1061,781-781-9781,Electrical,2012,105
Leonard,Irwin,Meriden,1062,781-855-1318,Welding & Metal Fab,2016,104
Hector,Hampton,Lomita,1063,781-150-6954,Computer IT,2015,103
Violet,Knowles,Tempe,1064,781-142-4874,Welding & Metal Fab,2013,106
Allistair,Stokes,Nevada City,1065,781-859-7087,Electronic Engineering Technology,2014,103
Amena,Gallegos,Sonoma,1066,781-964-0508,Auto Body Collision Repair,2013,108
Damon,Ford,West Springfield,1067,781-482-4114,Automotive,2013,106
Hammett,Bridges,Owensboro,1068,781-444-6730,Automotive,2016,107
Mason,Garza,Scranton,1069,781-874-2806,Cosmetology,2015,102
Haviva,Swanson,Asheville,1070,781-577-1050,Allied Health,2012,102
Jocelyn,Greene,Wilson,1071,781-212-5020,Drafting,2012,107
Patricia,Hurley,Canandaigua,1072,781-143-5836,Auto Body Collision Repair,2015,102
Benjamin,Booth,Pembroke Pines,1073,781-113-7558,Electrical,2013,108
Zephania,Jensen,Holyoke,1074,781-905-0121,Allied Health,2016,103
Gay,Jimenez,Pottsville,1075,781-874-8288,Electrical,2014,109
Deacon,Potter,Williamsport,1076,781-863-1100,Carpentry,2016,107
Hamilton,Johnston,Hanahan,1077,781-901-1719,Allied Health,2013,103
